id;location;total_experience;title;type_of_role;skill_category;specific_skills;general_skills;client_domain;jhi_mode;employer;prime_vendor;end_client;current_project_start_date;current_project_end_date;remarks;created_by;created_date;updated_by;updated_date
1;protocol;41978;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;2019-06-12T04:45:49;2019-06-11T10:36:13;sky blue;Peru deposit;2019-06-11T13:23:09;Strategist;2019-06-11T18:25:15
2;alliance redundant global;43897;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;2019-06-11T12:29:29;2019-06-11T19:00:47;Hollow Shoes systems;Generic Frozen Tuna HTTP;2019-06-12T00:33:02;Kids Optimization;2019-06-11T18:47:13
3;Norfolk Island Chilean Peso Unidades de fomento Checking Account;94389;Solutions COM;Data North Dakota;North Carolina Granite;Somalia Web revolutionize;invoice teal analyzing;Fantastic;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;hybrid;2019-06-12T03:58:33;2019-06-11T14:10:58;extensible Accountability Handmade Cotton Bacon;intermediate Table quantify;2019-06-11T11:26:53;Producer infrastructures;2019-06-11T21:53:01
4;quantify;34080;Infrastructure SSL bandwidth;application Configurable iterate;Berkshire navigating;superstructure;streamline;Interactions;Fantastic time-frame Quality;Borders Borders Practical;methodical;Pakistan;2019-06-12T01:42:23;2019-06-11T12:45:18;neural back-end Unbranded;Associate Designer;2019-06-12T05:28:15;circuit Guam;2019-06-11T13:52:19
5;Liaison;68803;generating SDD bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Cotton;Advanced grow;Handmade Wooden Cheese Fresh;2019-06-11T15:13:51;2019-06-11T12:57:03;Naira Versatile seize;asymmetric EXE;2019-06-12T01:26:44;Assistant Industrial;2019-06-11T07:32:06
6;Incredible Fresh Car Tuvalu;99296;Gorgeous Rubber Chicken Associate Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy;Product;Brand Regional Court;B2B Mouse;Junctions one-to-one;analyzing holistic;Architect;Beauty dynamic schemas;2019-06-11T16:20:43;2019-06-11T14:22:42;Keyboard;Licensed Usability models;2019-06-11T16:51:51;District Unbranded;2019-06-11T09:46:20
7;Aruba Chair portals;77760;Ways Liaison engage;disintermediate Assistant generating;Practical Steel Shirt Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response;white SMTP;Checking Account global Steel;2019-06-11T14:41:39;2019-06-11T18:51:22;Springs connecting;SAS;2019-06-11T17:33:58;California PNG engage;2019-06-12T03:35:44
8;Grocery transmit;62030;transmitter cyan;Checking Account;seamless New York mesh;Unbranded array;Berkshire solid state;middleware Switzerland;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;Illinois robust;2019-06-11T17:55:04;2019-06-12T03:43:07;Rubber Shirt;Pakistan Rupee;2019-06-12T02:29:25;Rupiah;2019-06-11T20:55:55
9;RSS Buckinghamshire Officer;60193;Automated;Pants even-keeled Chair;Brazil;Island cyan;Granite open architecture;Ergonomic Soft Shoes;Bulgarian Lev Cambridgeshire;Regional;Home;primary quantify Chips;2019-06-12T01:47:15;2019-06-11T17:56:02;Central Polarised;back-end Roads bypass;2019-06-12T05:55:53;Customer-focused;2019-06-11T13:41:30
10;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);10717;Inlet Hungary Configurable;interface;Toys;overriding;internet solution;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures;empower;2019-06-11T22:42:47;2019-06-11T22:05:53;payment Illinois dot-com;methodology Integration Music;2019-06-12T01:24:14;24/7;2019-06-11T19:06:16
